Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Role of ERBB2 in Signal Transduction and Oncology Homo sapiens h her2Pathway,4/28,6.413108912119444e-10,3.0141611886961383e-08,0,0,554.6111111111111,11739.734447440174,ERBB2;STAT3;JAK2;JAK1
Stat3 Signaling Pathway Homo sapiens h stat3Pathway,3/8,5.033265573129969e-09,1.1828174096855429e-07,0,0,1713.0,32730.628194074037,STAT3;JAK2;JAK1
IL 6 signaling pathway Homo sapiens h il6Pathway,3/13,2.5672603330014545e-08,4.022041188368946e-07,0,0,856.2857142857143,14966.025934716256,STAT3;JAK2;JAK1
IFN gamma signaling pathway  Homo sapiens h ifngPathway,2/6,3.3713141681840526e-06,3.961294147616262e-05,0,0,1249.125,15739.234728974254,JAK2;JAK1
IFN alpha signaling pathway Homo sapiens h ifnaPathway,2/9,8.084763760961904e-06,7.59967793530419e-05,0,0,713.6785714285714,8368.258989209586,STAT2;JAK1
IL22 Soluble Receptor Signaling Pathway  Homo sapiens h il22bppathway,2/11,1.234519196297719e-05,9.6704003709988e-05,0,0,555.0277777777778,6273.059307633597,STAT3;JAK1
Sumoylation by RanBP2 Regulates Transcriptional Repression Homo sapiens h ranbp2Pathway,2/14,2.04094503025842e-05,0.00013703488060306536,0,0,416.2083333333333,4494.8471043704,HDAC1;MDM2
EGF Signaling Pathway Homo sapiens h egfPathway,2/20,4.254530034649759e-05,0.0002499536395356733,0,0,277.3888888888889,2791.9028448786567,STAT3;JAK1
TPO Signaling Pathway Homo sapiens h TPOPathway,2/24,6.173695322587491e-05,0.00032240408906845783,0,0,226.9090909090909,2199.345382715804,STAT3;JAK2
PDGF Signaling Pathway Homo sapiens h pdgfPathway,2/26,7.265883245949173e-05,0.0003414965125596111,0,0,207.97916666666663,1981.9864686095775,STAT3;JAK1
Bioactive Peptide Induced Signaling Pathway Homo sapiens h biopeptidesPathway,2/33,0.00011782293987729036,0.0005034252885666042,0,0,160.95967741935485,1456.0939674817116,STAT3;JAK2
NO2-dependent IL 12 Pathway in NK cells Homo sapiens h no2il12Pathway,1/9,0.0044918441075108,0.0140554969341233,0,0,277.52777777777777,1500.1741678966396,JAK2
Overview of telomerase protein component gene hTert Transcriptional Regulation  Homo sapiens h tertpathway,1/10,0.0049898178893478,0.0140554969341233,0,0,246.679012345679,1307.4865498601448,HDAC1
Regulation of transcriptional activity by PML Homo sapiens h pmlPathway,1/11,0.0054875676690229,0.0140554969341233,0,0,222.0,1155.5699775561973,PML
EPO Signaling Pathway Homo sapiens h epoPathway,1/11,0.0054875676690229,0.0140554969341233,0,0,222.0,1155.5699775561973,JAK2
IL 3 signaling pathway Homo sapiens h il3Pathway,1/12,0.0059850935124877,0.0140554969341233,0,0,201.8080808080808,1032.9512945731403,JAK2
p53 Signaling Pathway Homo sapiens h p53Pathway,1/13,0.006482395492037,0.0140554969341233,0,0,184.9814814814815,932.059746399125,MDM2
IL-10 Anti-inflammatory Signaling Pathway Homo sapiens h il10Pathway,1/13,0.006482395492037,0.0140554969341233,0,0,184.9814814814815,932.059746399125,JAK1
Multiple antiapoptotic pathways from IGF-1R signaling lead to BAD phosphorylation Homo sapiens h igf1rPathway,1/13,0.006482395492037,0.0140554969341233,0,0,184.9814814814815,932.059746399125,IGF1R
Erythropoietin mediated neuroprotection through NF-kB Homo sapiens h eponfkbPathway,1/13,0.006482395492037,0.0140554969341233,0,0,184.9814814814815,932.059746399125,JAK2
The PRC2 Complex Sets Long-term Gene Silencing Through Modification of Histone Tails Homo sapiens h prc2Pathway,1/14,0.0069794736802133,0.0140554969341233,0,0,170.74358974358975,847.7046615380154,HDAC1
IL 2 signaling pathway Homo sapiens h il2Pathway,1/14,0.0069794736802133,0.0140554969341233,0,0,170.74358974358975,847.7046615380154,JAK1
IL 4 signaling pathway Homo sapiens h il4Pathway,1/15,0.0074763281564485,0.0140554969341233,0,0,158.53968253968253,776.212425317664,JAK1
IL12 and Stat4 Dependent Signaling Pathway in Th1 Development Homo sapiens h IL12Pathway,1/15,0.0074763281564485,0.0140554969341233,0,0,158.53968253968253,776.212425317664,JAK2
IL-7 Signal Transduction Homo sapiens h il7Pathway,1/15,0.0074763281564485,0.0140554969341233,0,0,158.53968253968253,776.212425317664,JAK1
The IGF-1 Receptor and Longevity Homo sapiens h longevityPathway,1/16,0.0079729589968486,0.0141533325692129,0,0,147.96296296296296,714.9125872208035,IGF1R
Chaperones modulate interferon Signaling Pathway Homo sapiens h tidPathway,1/18,0.0089655500933473,0.0141533325692129,0,0,130.54248366013073,615.425022203049,JAK2
ATM Signaling Pathway Homo sapiens h atmPathway,1/18,0.0089655500933473,0.0141533325692129,0,0,130.54248366013073,615.425022203049,MDM2
IGF-1 Signaling Pathway Homo sapiens h igf1Pathway,1/20,0.0099572476243861,0.0141533325692129,0,0,116.78947368421052,538.3357753631753,IGF1R
Downregulated of MTA-3 in ER-negative Breast Tumors Homo sapiens h mta3Pathway,1/20,0.0099572476243861,0.0141533325692129,0,0,116.78947368421052,538.3357753631753,HDAC1
Hypoxia and p53 in the Cardiovascular system Homo sapiens h p53hypoxiaPathway,1/21,0.0104527615118676,0.0141533325692129,0,0,110.94444444444444,506.0053047065427,MDM2
Inhibition of Cellular Proliferation by Gleevec Homo sapiens h gleevecpathway,1/22,0.0109480522580432,0.0141533325692129,0,0,105.65608465608466,476.9942956890701,JAK2
Cell Cycle: G2/M Checkpoint Homo sapiens h g2Pathway,1/22,0.0109480522580432,0.0141533325692129,0,0,105.65608465608466,476.9942956890701,MDM2
Growth Hormone Signaling Pathway Homo sapiens h ghPathway,1/22,0.0109480522580432,0.0141533325692129,0,0,105.65608465608466,476.9942956890701,JAK2
