Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
curcumin CTD 00000663,7/528,9.624731064478704e-10,1.0510206322410747e-06,0,0,87.19321817018555,1810.2633061982951,HDAC1;HGF;ERBB2;STAT3;MDM2;JAK2;IGF1R
Arsenenous acid CTD 00000922,8/1283,1.125007154544032e-08,6.142539063810416e-06,0,0,58.71372549019608,1074.6309383257194,HDAC1;HGF;ERBB2;STAT3;MDM2;JAK2;PML;JAK1
Capsaicin CTD 00005570,5/206,2.6683516299472512e-08,9.712799933007994e-06,0,0,98.45273631840796,1716.9389114479684,ERBB2;STAT3;MDM2;IGF1R;JAK1
Vorinostat BOSS,4/83,5.6805663671864834e-08,1.0055255092706986e-05,0,0,168.0253164556962,2803.2721773892263,HDAC1;ERBB2;STAT3;MDM2
172889-27-9 BOSS,4/84,5.963163884052429e-08,1.0055255092706986e-05,0,0,165.91666666666666,2760.036948786776,ERBB2;STAT3;MDM2;JAK2
NVP-TAE684 CTD 00004657,3/17,6.097651861537575e-08,1.0055255092706986e-05,0,0,611.5102040816327,10158.88264605809,HGF;ERBB2;STAT3
resveratrol CTD 00002483,8/1601,6.445676341478837e-08,1.0055255092706986e-05,0,0,46.19460138104206,764.8565417748683,HDAC1;HGF;ERBB2;STAT3;MDM2;PML;IGF1R;JAK1
Erlotinib BOSS,4/98,1.11263735045227e-07,1.5187499833673485e-05,0,0,141.10638297872342,2259.305443636223,ERBB2;STAT3;JAK2;IGF1R
podophyllotoxin TTD 00010285,3/25,2.058149650923037e-07,2.497221576453285e-05,0,0,388.987012987013,5988.956196714199,STAT3;MDM2;JAK2
podophyllotoxin CTD 00006577,3/28,2.929226415749853e-07,3.159426968121176e-05,0,0,342.25714285714287,5148.696483246648,STAT3;MDM2;JAK2
Cladribine CTD 00007175,3/29,3.266360887852657e-07,3.159426968121176e-05,0,0,329.0769230769231,4914.572706459964,STAT3;MDM2;JAK2
Chromium(VI) CTD 00002830,4/130,3.471897767166128e-07,3.159426968121176e-05,0,0,105.1005291005291,1563.2016104018544,HDAC1;ERBB2;STAT3;IGF1R
GNF-Pf-78 TTD 00008278,3/31,4.016043221810489e-07,3.3734763063208105e-05,0,0,305.5408163265306,4499.943578284277,STAT3;MDM2;JAK2
doxorubicin CTD 00005874,6/750,5.031830056383051e-07,3.92482744397878e-05,0,0,38.80241935483871,562.7247881412028,HDAC1;STAT2;HGF;ERBB2;STAT3;MDM2
Sorafenib tosylate BOSS,4/160,7.979158546738467e-07,5.808827422025604e-05,0,0,84.76068376068376,1190.1470264955126,ERBB2;STAT3;MDM2;JAK2
Erlotinib CTD 00003738,3/46,1.35093871260001e-06,9.022995850945543e-05,0,0,198.80730897009963,2686.823298477424,STAT3;JAK2;PML
