Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Regulation of Apoptotic Process (GO:0042981),4/704,0.003868054783571444,0.09982545942863763,0,0,7.345142857142857,40.802294560088306,AHI1;DKKL1;PTMA;IGF1R
"Positive Regulation of Protein Localization to Chromosome, Telomeric Region (GO:1904816)",5-Jan,0.00474139160939957,0.09982545942863763,0,0,277.4583333333333,1484.7973498875915,PML
Cytochrome Metabolic Process (GO:1903604),5-Jan,0.00474139160939957,0.09982545942863763,0,0,277.4583333333333,1484.7973498875915,CYP2U1
"Regulation of Protein Localization to Chromosome, Telomeric Region (GO:1904814)",5-Jan,0.00474139160939957,0.09982545942863763,0,0,277.4583333333333,1484.7973498875915,PML
Regulation of Translational Initiation in Response to Stress (GO:0043558),6-Jan,0.005687115738983334,0.09982545942863763,0,0,221.95555555555555,1147.4107993095174,PML
Notch Receptor Processing (GO:0007220),7-Jan,0.00663198906678106,0.09982545942863763,0,0,184.9537037037037,927.7001289942034,GALNT11
Dendritic Spine Maintenance (GO:0097062),7-Jan,0.00663198906678106,0.09982545942863763,0,0,184.9537037037037,927.7001289942034,IGF1R
Negative Regulation of Vasoconstriction (GO:0045906),7-Jan,0.00663198906678106,0.09982545942863763,0,0,184.9537037037037,927.7001289942034,DOCK4
Positive Regulation of Vascular Associated Smooth Muscle Cell Migration (GO:1904754),8-Jan,0.0075760122063041925,0.09982545942863763,0,0,158.52380952380952,774.0350338275504,DOCK4
Protein O-linked Glycosylation via Threonine (GO:0018243),9-Jan,0.008519185800335128,0.09982545942863763,0,0,138.70138888888889,660.9723846479391,GALNT11
Organic Acid Metabolic Process (GO:0006082),9-Jan,0.008519185800335128,0.09982545942863763,0,0,138.70138888888889,660.9723846479391,CYP2U1
Formation of Translation Preinitiation Complex (GO:0001731),9-Jan,0.008519185800335128,0.09982545942863763,0,0,138.70138888888889,660.9723846479391,EIF4B
Transposable Element Silencing by piRNA-mediated DNA Methylation (GO:0141196),10-Jan,0.009461510512395743,0.09982545942863763,0,0,123.28395061728395,574.5677163606151,TDRD9
Gene Silencing by piRNA-directed DNA Methylation (GO:0141176),10-Jan,0.009461510512395743,0.09982545942863763,0,0,123.28395061728395,574.5677163606151,TDRD9
Negative Regulation of Steroid Biosynthetic Process (GO:0010894),10-Jan,0.009461510512395743,0.09982545942863763,0,0,123.28395061728395,574.5677163606151,DKKL1
Negative Regulation of Apoptotic Process (GO:0043066),3/475,0.009719125253166271,0.09982545942863763,0,0,7.749867584745763,35.91024879072383,AHI1;PTMA;IGF1R
Omega-Hydroxylase P450 Pathway (GO:0097267),11-Jan,0.010402987018789436,0.09982545942863763,0,0,110.95,506.5602322657193,CYP2U1
Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0048009),11-Jan,0.010402987018789436,0.09982545942863763,0,0,110.95,506.5602322657193,IGF1R
