ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
7971296,0.51,0.0000275,-4.3994722,1.639,-0.58267415,EPSTI1,epithelial stromal interaction 1 (breast)
8103753,0.51,0.0000508,4.2379694,1.18,0.15433438,,
8176730,0.51,0.0000695,4.1539119,0.945,0.12376216,RPS4Y2,"ribosomal protein S4, Y-linked 2"
7903765,0.51,0.0000925,4.0766781,0.731,0.78991989,GSTM1,glutathione S-transferase mu 1
8101637,0.891,0.0002021,3.8605437,0.149,0.18831144,HSD17B13,hydroxysteroid 17-beta dehydrogenase 13
8103563,1,0.0003082,-3.7405583,-0.166,-0.37945012,DDX60,DEXD/H-box helicase 60
8040080,1,0.0005108,-3.5935978,-0.541,-0.75166341,RSAD2,radical S-adenosyl methionine domain containing 2
7902541,1,0.0005209,-3.5878459,-0.556,-0.61293868,IFI44L,interferon induced protein 44 like
8154962,1,0.000689,3.5046835,-0.763,0.15937958,DNAJB5,DnaJ heat shock protein family (Hsp40) member B5
7989670,1,0.0007556,3.4769616,-0.831,0.1862578,RBPMS2,RNA binding protein with multiple splicing 2
8161964,1,0.0007645,-3.473394,-0.84,-0.18427474,FRMD3,FERM domain containing 3
8050102,1,0.0009505,-3.4073314,-1.001,-0.36253872,CMPK2,cytidine/uridine monophosphate kinase 2
8126531,1,0.0010887,3.3657197,-1.101,0.14041602,CRIP3///CRIP3,cysteine rich protein 3///cysteine rich protein 3
7921434,1,0.0010914,-3.3649634,-1.103,-0.36683524,AIM2,absent in melanoma 2
7967117,1,0.0012746,-3.3169671,-1.218,-0.35422832,OASL,2'-5'-oligoadenylate synthetase like
7958884,1,0.0015525,-3.2552658,-1.363,-0.3705031,OAS1,2'-5'-oligoadenylate synthetase 1
8004184,1,0.0017366,-3.2198421,-1.446,-0.32169767,XAF1,XIAP associated factor 1
7969096,1,0.0017945,-3.2094329,-1.47,-0.11629773,CDADC1,cytidine and dCMP deaminase domain containing 1
8029507,1,0.0017951,3.2093238,-1.47,0.26092972,NECTIN2,nectin cell adhesion molecule 2
7908125,1,0.0019837,-3.1774737,-1.543,-0.12742478,RGL1,ral guanine nucleotide dissociation stimulator like 1
8046124,1,0.0019892,-3.1765754,-1.546,-0.32132676,DHRS9,dehydrogenase/reductase 9
8048898,1,0.0019943,-3.1757652,-1.547,-0.18700051,SP140,SP140 nuclear body protein
7940028,1,0.0022714,-3.1339203,-1.643,-0.47873335,SERPING1,serpin family G member 1
7961069,1,0.0025575,-3.0954444,-1.73,-0.1502791,CLECL1,C-type lectin like 1
8096361,1,0.0027811,-3.0680565,-1.791,-0.45514257,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
7902553,1,0.0028604,-3.0588321,-1.812,-0.4749843,IFI44,interferon induced protein 44
7917516,1,0.0029696,-3.0465117,-1.839,-0.29743718,GBP1P1///GBP3///GBP1,guanylate binding protein 1 pseudogene 1///guanylate binding protein 3///guanylate binding protein 1
7902850,1,0.0029911,-3.0441449,-1.845,-0.2166361,GBP6,guanylate binding protein family member 6
8071063,1,0.0030232,3.040626,-1.852,0.22489488,TPTEP1,transmembrane phosphatase with tensin homology pseudogene 1
7897089,1,0.0030702,3.0355298,-1.864,0.09254296,PLCH2,phospholipase C eta 2
8094259,1,0.0031035,-3.0319712,-1.872,-0.27315666,LAP3,leucine aminopeptidase 3
8071155,1,0.003166,-3.0253787,-1.886,-0.24379575,USP18,ubiquitin specific peptidase 18
8154233,1,0.0032941,-3.0122328,-1.915,-0.38411892,CD274,CD274 molecule
8064014,1,0.0034767,2.9942927,-1.955,0.08347819,SLC17A9,solute carrier family 17 member 9
8036923,1,0.0034779,2.9941783,-1.955,0.09516943,NUMBL,"NUMB like, endocytic adaptor protein"
