ID_REF,adj.P.Val,P.Value,Gene.symbol,GSM1558775,GSM1558776,GSM1558777,GSM1558778,GSM1558779,GSM1558780,GSM1558781,GSM1558782,GSM1558783,GSM1558784,GSM1558785,GSM1558786,GSM1558787,GSM1558788,GSM1558789,GSM1558790,GSM1558791,GSM1558792,GSM1558793,GSM1558794,GSM1558795,GSM1558796,GSM1558797,GSM1558798,GSM1558799,GSM1558800,GSM1558801,GSM1558802,GSM1558803,GSM1558804,GSM1558805,GSM1558806,GSM1558807,GSM1558808,GSM1558809,GSM1558810,GSM1558811,GSM1558812,GSM1558813,GSM1558814,GSM1558815,GSM1558816,GSM1558817,GSM1558818,GSM1558819,GSM1558820,GSM1558821,GSM1558822,GSM1558823,GSM1558824,GSM1558825,GSM1558826,GSM1558827,GSM1558828,GSM1558829,GSM1558830,GSM1558831,GSM1558832,GSM1558833,GSM1558834,GSM1558835,GSM1558836,GSM1558837,GSM1558838,GSM1558839,GSM1558840,GSM1558841,GSM1558842,GSM1558843,GSM1558844,GSM1558845,GSM1558846,GSM1558847,GSM1558848,GSM1558849,GSM1558850,GSM1558851,GSM1558852,GSM1558853,GSM1558854,GSM1558855,GSM1558856,GSM1558857,GSM1558858,GSM1558859,GSM1558860,GSM1558861,GSM1558862,GSM1558863,GSM1558864,GSM1558865,GSM1558866,GSM1558867,GSM1558868,GSM1558869,GSM1558870
7896817,1.0,0.0670776,ISG15,7.091846106,7.308145507,7.668281319,7.127257079,7.146063352,7.15334742,7.009100987,7.020500381,6.905392988,6.757785368,6.869034482,6.811613067,6.801041471,6.896116414,7.534608787,6.960613944,7.183355535,6.992552211,7.580568617,8.02374626,6.985132966,6.878107113,7.081183805,7.039073857,6.869245246,7.963313233,7.004677779,7.069069926,7.673774825,7.49276114,6.933216272,6.870850016,6.874305477,6.608266423,7.113370561,7.109790749,7.227466323,6.830110854,7.045998449,6.981789967,6.848320367,6.688321231,6.77026471,6.776144117,6.978391319,6.789124793,7.049093985,6.942332837,6.889329412,7.024277876,7.448748552,7.182203162,7.032653342,7.171229897,7.097622889,7.013047327,7.161842346,6.952419744,7.176174211,6.845923741,6.911275814,6.703584514,6.8565193,6.591603887,6.853678541,6.990796623,6.823843577,6.72668873,7.367683616,7.120948021,7.183825321,6.93854639,7.014280308,6.929131539,6.987057333,7.260043821,7.008121626,6.956694775,6.798717763,6.691686277,6.946421254,7.015447464,6.977228969,6.798256595,6.940334847,6.970993489,6.953398795,7.003402693,7.080195673,6.660514575,6.669526298,7.095945059,7.020809226,6.902580285,6.958557187,7.073306719
7897006,1.0,0.0280802,MMP23A///MMP23B,7.637750522,7.683625594,7.711817303,7.607099927,7.601258126,7.645044333,7.422128471,7.321372582,7.4444404,7.771708859,7.54267685,7.466229422,7.328634199,7.415692185,7.559331833,7.491112409,7.646992071,7.570814084,7.401202136,7.508734981,7.576970401,7.412224124,7.628101958,7.408495126,7.563320101,7.453370105,7.668273701,7.567567408,7.214212623,7.483071148,7.276947418,7.284129153,7.301368876,7.255958457,7.478632273,7.236306753,7.317007623,7.195429133,7.261878621,7.495312001,7.545985982,7.276452486,7.141905661,7.103492936,7.323490203,7.1923013,7.465773332,7.320875206,7.455774782,7.707334973,7.676842637,7.80548619,7.699855482,7.67104027,7.621764555,7.774086213,7.705081472,7.662758277,7.878855464,7.529146666,7.428515615,7.336180338,7.537188223,7.252571409,7.517108815,7.659430731,7.373149768,7.400929934,7.609508572,7.644938714,7.71752173,7.417027835,7.306360738,7.509935072,7.505329467,7.444401516,7.376329469,7.52132506,7.501531602,7.449718974,7.559625471,7.491014025,7.590784364,7.500402646,7.463486517,7.512916428,7.228365972,7.516897406,7.388008953,7.159920845,7.477121119,7.763118681,7.528989225,7.140708766,7.42371936,7.45876397
7897026,1.0,0.010846,CALML6,6.043136196,6.293525945,6.033660419,5.831126396,6.042182857,6.297265328,6.039491464,6.250247516,6.114459264,6.142166922,5.909320024,5.991743431,5.701137661,5.85766699,5.83932395,5.903115002,5.527355409,5.750335444,5.766653617,6.16796796,5.736320653,5.640443548,6.001328522,5.893114023,5.859831596,6.229828779,5.973203705,6.155849074,5.606387203,5.829793338,5.892749736,5.735910225,5.711109882,5.800624528,6.145270275,5.624683722,5.544183824,5.645491684,5.724658722,5.803380494,5.820747597,5.583776677,5.582674042,5.751966485,5.793329702,5.730575575,5.938647875,5.875921211,6.013571787,6.343465995,6.425474301,6.414536366,6.125814635,6.12208362,6.089140256,6.380772561,6.185228289,6.254756189,6.015994844,5.964753802,5.924575933,6.007917281,6.109250208,5.759176726,6.192656029,6.244329101,5.697009061,5.840912651,5.600541167,6.001197591,6.139601695,5.646328403,5.836176319,5.66913173,5.836718474,5.581436572,5.954943186,6.614190841,5.585424968,6.188346889,6.051808929,6.020706107,6.033194101,6.028010417,5.91721738,6.020093126,6.029677513,5.690693585,5.764399364,5.49612287,5.768845656,6.104919996,6.079438572,6.028315938,5.931439188,6.164926173
7897089,1.0,0.0030702,PLCH2,7.479045736,7.635103403,7.488985768,7.543146116,7.604645697,7.509954218,7.274421527,7.579855388,7.329332741,7.589821716,7.412584929,7.474731088,7.289086683,7.581783029,7.39579637,7.35814628,7.525568743,7.571166555,7.260682663,7.522956403,7.455497895,7.25352582,7.845963402,7.292941977,7.468145986,7.445151857,7.664438923,7.654336411,7.174294637,7.45396378,7.49616573,7.479464729,7.405177476,7.479714277,7.29921218,7.280333402,7.376264687,7.39900297,7.246974244,7.618161307,7.472248221,7.345173832,7.276832297,7.280454598,7.363554738,7.342139693,7.48002421,7.411662882,7.536361198,7.691546508,7.596215838,7.722002288,7.749857134,7.807626646,7.554549406,7.699063933,7.679132951,7.545980691,7.702366125,7.466736812,7.411516155,7.460362306,7.396989235,7.340168682,7.44646785,7.80837702,7.371594208,7.382611938,7.633505768,7.648331627,7.502085618,7.407176943,7.502887738,7.602571495,7.713356138,7.436639459,7.469006386,7.687660914,7.472097098,7.327702661,7.344512743,7.476558261,7.519982041,7.613784966,7.219459657,7.582384064,7.457651817,7.790591241,7.671172468,7.389545627,7.533375441,7.699049069,7.354821664,7.265528119,7.541402587,7.397330934
7897154,1.0,0.050376,ARHGEF16,6.624405856,6.921032002,6.776973781,6.862449101,6.81114058,6.771916471,6.627049602,6.470417456,6.630299813,6.642603379,6.602136022,6.64758631,6.32370246,6.587978971,6.534043795,6.657149026,6.494723655,6.729712331,6.297977643,6.647911247,6.638945053,6.535926823,6.883057491,6.682742213,6.65675334,6.646527244,6.571909733,6.541660568,6.423730855,6.536510887,6.445163465,6.4485358,6.358245359,6.412396962,6.778720155,6.325355463,6.384634324,6.459812512,6.303762691,6.780863536,6.621562522,6.218256953,6.244953181,6.28767939,6.361730503,6.218652336,6.621682502,6.706691946,6.553341667,6.777552566,6.73984409,6.9321199,6.836305206,6.721553167,6.57856996,6.838653464,6.805945891,6.77223242,6.846199971,6.615277759,6.632295483,6.689780718,6.639544654,6.504632441,6.800224901,6.683053091,6.409370444,6.548158357,6.657801293,6.621895869,6.694578908,6.638349249,6.464008228,6.376603518,6.652364139,6.358746694,6.432801698,6.830154337,6.389320402,6.630072067,6.554295851,6.527349896,6.638485048,6.710098337,6.607745604,6.711963526,6.397672678,6.531235282,6.68946878,6.370109111,6.470628125,6.670227664,6.730054283,6.393004772,6.652617056,6.734806065
7897280,1.0,0.0538779,HES3,6.688764067,6.341114919,6.5145694,6.282485562,6.714806004,6.065771993,6.127373502,6.416549778,6.470123767,6.38349618,6.066967889,6.220402625,5.994668054,6.304850071,6.410159835,6.443722396,6.448340221,5.96562525,5.924211442,6.349323526,6.398053249,6.407547638,6.690863826,6.484300742,6.253689589,6.699622857,6.513809395,6.735084161,5.996113721,6.498120902,6.368287449,6.242670442,6.121871858,6.459833855,6.32509548,6.429755454,6.191503942,6.159922799,6.174849383,6.335301626,6.364059924,6.285302768,5.947074938,6.248406123,6.345779056,6.090502421,6.342374167,6.428275569,6.391222701,6.332768471,6.46597812,6.484241096,6.660608744,6.439398227,6.492516395,6.873961703,6.666860983,6.355929354,6.677302077,6.388375744,6.397258146,6.219281179,6.469592159,6.220489958,6.306451072,6.697430996,6.392709679,6.098116063,6.256271389,6.701040446,6.556494227,6.168295199,5.914023922,6.006094369,6.32705992,6.437266895,6.501541884,6.470602904,6.45192246,6.43558491,6.496560751,6.421178824,6.570241946,6.707052364,6.368384109,6.335341754,6.155475441,6.314353899,6.474343021,6.173400812,6.233088837,6.362610866,6.237539188,6.421076331,6.296793875,6.710383749
7897728,1.0,0.0330429,FBXO6,7.679159589,7.144513497,7.430072071,7.036357025,7.315101373,7.031324999,7.790304664,7.024992883,7.381103213,6.692998234,7.378189919,6.74174455,7.334569766,6.84826414,7.542085003,6.946239952,7.317282598,6.800501194,8.01609497,7.696448325,7.486039204,7.225191799,6.947673282,7.442163939,7.128581911,8.19672641,7.131045609,7.393830451,8.23969838,7.671908942,7.418611033,7.267378379,7.274354832,7.192451454,7.197503368,7.992081314,7.501571571,7.471252719,7.669201504,7.218958301,7.300095815,7.232089555,7.21296578,7.200109656,7.722067518,7.407728733,7.5119611,7.434413379,7.346306763,7.044972443,7.312828281,7.087225127,7.290812357,6.9112178,7.129208769,7.127893729,7.158992316,6.990241549,7.196731508,7.254229167,7.116130304,7.258942417,7.296323583,7.258062305,6.993698207,7.106422798,7.269464272,6.98865237,7.466144977,7.518020143,7.647357475,7.0805035,7.3396495,7.021996901,6.918769115,7.595502779,7.532016944,6.946063317,7.359901754,7.262693186,7.331691947,7.231395817,7.390281056,7.207654575,7.857214311,7.286954501,7.679349955,6.893054219,6.99955072,7.15271741,7.302916949,7.190331338,7.240782471,7.144536213,7.266010748,7.248187834
7897737,1.0,0.0298328,DRAXIN,7.127732305,7.426333457,7.181765141,7.273020703,7.267435248,7.431501604,7.120340218,7.009372941,7.064589331,6.994593398,7.412003456,7.079080426,6.796358073,6.781417341,7.209612968,7.108818973,7.287471471,7.16471254,6.889302811,6.767306332,6.913281275,6.84414607,7.259049943,6.969822477,7.184791957,7.116994078,7.070870468,7.113695008,6.897556045,7.141163326,7.106506245,6.864363735,6.807819185,7.087024879,7.261099938,6.676560409,7.08973436,6.734968809,6.929310414,7.123857683,7.081973595,6.78246167,6.868760852,6.686484511,6.842826107,6.831174533,7.056602692,7.157993121,7.122569603,7.466045287,6.946110137,7.478058795,7.218927241,7.133365868,7.104820316,7.051575157,7.378890166,7.212767982,7.402394468,7.079047743,6.932764797,6.883420535,7.027458349,7.123231507,7.083901881,7.32537997,6.932995485,6.98046877,7.246845712,7.378051905,7.085943931,7.150396412,7.338971994,6.987559513,7.142647026,7.432312431,7.077723584,7.462506304,6.967100856,6.788260689,6.966664051,7.014559083,7.192283311,6.905967739,7.240250887,7.088195824,6.839877509,7.019357399,7.359412841,6.821860613,6.824325525,7.395795554,7.170147992,6.971521164,7.052538939,7.317872504
7898357,1.0,0.0222467,LOC102724562///MST1L///MST1P2///MST1,6.469768368,6.4601894,6.605393306,6.451851738,6.673200753,6.457268062,6.363098391,6.433307006,6.365687692,6.675442405,6.316304721,6.490128511,6.37429445,6.268243586,6.481407726,6.471644651,6.450408111,6.341106472,6.362594341,6.304152931,6.303314814,6.228236615,6.549578272,6.349065222,6.445190594,6.290205248,6.366329385,6.53622408,6.18048893,6.452696473,6.472004771,6.09377515,6.280410243,6.067111996,6.651394979,6.249542924,6.489671488,6.271574531,6.373557821,6.33565007,6.590415347,6.427742291,6.315506035,6.187576743,6.468584125,6.231069734,6.416362685,6.561779376,6.443050154,6.647368306,6.646695301,6.804373555,6.636142275,6.50497942,6.467056083,6.568508154,6.661842998,6.59091808,6.874791224,6.139456807,6.358404694,6.340556569,6.491580235,6.187127246,6.515243197,6.75343023,6.451058456,6.272311779,6.595595149,6.813577468,6.432943302,6.305988402,6.620087961,6.216505757,6.309776315,6.396517322,6.493115783,6.442217964,6.372981106,6.323047995,6.348863486,6.59120623,6.56805207,6.446859608,6.360532529,6.409524937,6.433566732,6.177351649,6.723922491,6.096308464,6.499035031,6.6968166,6.374820531,6.337211677,6.454266475,6.568832738
7898594,1.0,0.0182997,HTR6,7.037674345,7.156682656,7.195859935,7.029357435,6.999095023,7.025302494,6.879469439,6.983358889,6.982950004,7.068531714,6.857506388,7.212158407,6.447427059,6.97127126,6.991293296,7.013512651,6.95337351,6.790453296,6.63661733,6.993779178,6.648671096,6.8147169,7.167797925,6.847444151,6.832151123,6.912989102,6.792141177,6.965890749,6.871755149,7.115587022,6.891136031,6.681202895,6.567342796,6.448811921,6.836594573,6.601854489,6.6268705,6.713645836,6.580205497,6.51751091,6.97217817,6.88170726,6.718603409,6.609024454,6.778620102,6.591524523,6.997605182,6.927713862,6.682194088,7.257264679,7.268998923,7.37287478,7.289724186,7.101826146,7.012645228,7.007054011,7.266398198,7.061626884,7.181804118,6.92962442,6.905466395,6.868101015,6.730849344,6.878550199,7.145552219,7.203083452,6.724318217,6.701773471,6.954171557,7.182252935,6.885823478,6.764039087,6.512339882,6.874793651,6.851583531,6.581566359,7.010250342,7.019418282,6.822898689,6.782667164,7.072015304,6.988694475,7.100712057,7.232883688,6.889947879,6.83489861,6.724199774,6.916506938,7.021963208,6.604550153,6.884301047,7.13200142,7.04495743,6.587197825,6.977796495,7.131281785
