Feature,Fisher Score,Normalized Fisher Score
PXK,0.019780119204204243,0.033651899837695474
CCDC65,0.02142751280249525,0.04819592001245527
CALR3,0.020290657208596578,0.03815918640452847
LOC100653137///CDH23,0.016736581177423496,0.006782013667160262
PRUNE2,0.023226519587622587,0.06407845774027265
FAM46D,0.024893046854251782,0.07879139957323025
DSCR10,0.0189389481713406,0.02622561841649545
LACE1,0.030973936809760374,0.13247655792589028
SLAMF6,0.03945330504722036,0.20733669022382495
HIPK1,0.02223317646152233,0.05530872445889502
MTBP,0.01943556951940872,0.030610041734039063
ART5,0.022218236859904476,0.055176830133484046
NLRC4,0.06024179554931929,0.39086795171408617
RAI1,0.023600775327335573,0.06738257585421459
TMEM190,0.02552551719636957,0.08437516621238737
JAK1,0.021321180035006916,0.047257160800817745
UPK3BL///POLR2J3///POLR2J2///POLR2J,0.05425851297092756,0.3380445204334906
UPK3BL///POLR2J3///LOC441259///POLR2J2///POLR2J,0.037997006457525774,0.19447975300435005
TRNT1,0.04194840874196361,0.22936472196566807
DIP2A,0.02715051100576953,0.09872142977216472
TUBA3FP,0.03476972205571668,0.1659876613158235
FGF1,0.01861109547121879,0.023331169700737637
ADAMTS17,0.022571910876350205,0.058299242431195525
C9orf66,0.06898168322066248,0.4680280807500468
CLEC4D,0.015968386017862914,0.0
HELB,0.02055404138194103,0.040484474504960594
TIRAP,0.017341748436104334,0.01212473493819643
B3GNT6,0.024004138234049132,0.0709436666943621
VWA5B1,0.026998483786871832,0.09737925693559762
CD200R1,0.04256457206996095,0.23480452207332725
FMR1NB,0.018055280902546284,0.018424158826964427
IL23R,0.017485193562398603,0.013391140740039472
CD276,0.02527072384915544,0.08212572225065219
PANX2,0.026076177302697037,0.08923667089722427
ZMYM6,0.01794820222048482,0.017478814305895395
ZMYM6.1,0.020342733997194922,0.038618946515771316
SLC30A8,0.016871360837648838,0.007971916371345934
NOX5,0.02066490431040413,0.041463228258691934
DAOA-AS1,0.016925331675542034,0.008448398103447866
SLFN5,0.018684863616129647,0.023982432027452455
GPR78,0.02661650406486271,0.09400694761679668
THEM4,0.04996952677790841,0.30017919074831495
SVEP1,0.018830124618136223,0.02526486929440623
GATA4,0.020745834905890572,0.04217772430549653
SH2D1B,0.016619176260668077,0.0057455039467885155
