Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Pathways in cancer,10/531,1.6007464465940872e-16,1.3446270151390334e-14,0,0,194690.0,7081048.854128188,HDAC1;STAT2;HGF;ERBB2;STAT3;MDM2;JAK2;PML;IGF1R;JAK1
PI3K-Akt signaling pathway,6/354,5.83056039916967e-09,2.4488353676512615e-07,0,0,84.66379310344827,1605.2384469135677,HGF;ERBB2;MDM2;JAK2;IGF1R;JAK1
Epstein-Barr virus infection,5/202,2.418823027510253e-08,5.468676060302919e-07,0,0,100.47208121827413,1762.0190444396203,HDAC1;STAT2;STAT3;MDM2;JAK1
Proteoglycans in cancer,5/205,2.6041314572871046e-08,5.468676060302919e-07,0,0,98.95,1728.0213931901574,HGF;ERBB2;STAT3;MDM2;IGF1R
Signaling pathways regulating pluripotency of stem cells,4/143,5.089005289720745e-07,8.549528886730852e-06,0,0,95.20863309352518,1379.669564997022,STAT3;JAK2;IGF1R;JAK1
Necroptosis,4/159,7.78155412717457e-07,8.804835910119095e-06,0,0,85.31182795698925,1200.0251416739293,STAT2;STAT3;JAK2;JAK1
JAK-STAT signaling pathway,4/162,8.385558009637234e-07,8.804835910119095e-06,0,0,83.67932489451476,1170.8063626821524,STAT2;STAT3;JAK2;JAK1
Hepatitis B,4/162,8.385558009637234e-07,8.804835910119095e-06,0,0,83.67932489451476,1170.8063626821524,STAT2;STAT3;JAK2;JAK1
Influenza A,4/172,1.0653381927458568e-06,9.943156465627995e-06,0,0,78.65873015873017,1081.7320249878935,STAT2;JAK2;PML;JAK1
Transcriptional misregulation in cancer,4/192,1.6522764653746114e-06,1.2881310503869374e-05,0,0,70.21985815602837,934.8620081667106,HDAC1;MDM2;PML;IGF1R
Kaposi sarcoma-associated herpesvirus infection,4/193,1.6868382802686084e-06,1.2881310503869374e-05,0,0,69.8447971781305,928.4227659846208,STAT2;STAT3;JAK2;JAK1
Viral carcinogenesis,4/203,2.0627825204633733e-06,1.4439477643243612e-05,0,0,66.30150753768844,867.983185686968,HDAC1;STAT3;MDM2;JAK1
Melanoma,3/72,5.271571489605828e-06,3.162942893763497e-05,0,0,123.73291925465838,1503.7486925982037,HGF;MDM2;IGF1R
Non-small cell lung cancer,3/72,5.271571489605828e-06,3.162942893763497e-05,0,0,123.73291925465838,1503.7486925982037,HGF;ERBB2;STAT3
Pancreatic cancer,3/76,6.2072857775514416e-06,3.476080035428807e-05,0,0,116.92954990215264,1401.9603775039,ERBB2;STAT3;JAK1
PD-L1 expression and PD-1 checkpoint pathway in cancer,3/89,9.993193903059505e-06,5.24642679910624e-05,0,0,99.18936877076412,1142.027341805338,STAT3;JAK2;JAK1
MicroRNAs in cancer,4/310,1.1044652122099804e-05,5.457357519155197e-05,0,0,42.88453159041394,489.46535526616367,HDAC1;ERBB2;STAT3;MDM2
Prostate cancer,3/97,1.294690780331064e-05,6.041890308211633e-05,0,0,90.7112462006079,1020.9236516163533,ERBB2;MDM2;IGF1R
Human papillomavirus infection,4/331,1.4300264984768664e-05,6.322222414318779e-05,0,0,40.08766564729868,447.1872302957118,HDAC1;STAT2;MDM2;JAK1
Th17 cell differentiation,3/107,1.7383487115290313e-05,7.301064588421933e-05,0,0,81.9478021978022,898.1470777533725,STAT3;JAK2;JAK1
HIF-1 signaling pathway,3/109,1.8376535339644008e-05,7.350614135857603e-05,0,0,80.39353099730458,876.6461103951209,ERBB2;STAT3;IGF1R
Toxoplasmosis,3/112,1.993520596343318e-05,7.611624095129032e-05,0,0,78.16906946264744,846.0256558682161,STAT3;JAK2;JAK1
FoxO signaling pathway,3/131,3.186552229157929e-05,0.00011637842923881131,0,0,66.50223214285714,688.5631764907918,STAT3;MDM2;IGF1R
Measles,3/139,3.803793344412712e-05,0.00013313276705444492,0,0,62.56512605042017,636.7206985146604,STAT2;STAT3;JAK1
Hepatitis C,3/157,5.468908073963329e-05,0.00018375531128516783,0,0,55.20222634508349,541.7461752188425,STAT2;STAT3;JAK1
