Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Disease,10/2131,1.850219543728829e-10,5.08810374525428e-08,0,0,178690.0,4004540.576529424,HDAC1;STAT2;HGF;ERBB2;STAT3;MDM2;JAK2;PML;IGF1R;JAK1
Interleukin-20 Family Signaling,4/26,4.68480811645484e-10,6.441611160125407e-08,0,0,605.0909090909091,12998.276079111229,STAT2;STAT3;JAK2;JAK1
Interleukin-27 Signaling,3/11,1.4818761302081364e-08,1.0187898395180938e-06,0,0,1070.4642857142858,19297.657680861572,STAT3;JAK2;JAK1
Interleukin-6 Signaling,3/11,1.4818761302081364e-08,1.0187898395180938e-06,0,0,1070.4642857142858,19297.657680861572,STAT3;JAK2;JAK1
Interleukin-35 Signalling,3/12,1.975325674652796e-08,1.086429121059038e-06,0,0,951.4761904761904,16879.137629092926,STAT3;JAK2;JAK1
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers,6/451,2.474084645630725e-08,1.133955462580749e-06,0,0,65.88202247191012,1153.9111229092268,HDAC1;HGF;ERBB2;STAT3;MDM2;JAK2
Signaling by Receptor Tyrosine Kinases,6/536,6.905612889545374e-08,2.7129193494642533e-06,0,0,55.075471698113205,908.1034445296026,HDAC1;HGF;ERBB2;STAT3;JAK2;IGF1R
Signal Transduction,9/2613,9.673158364802686e-08,3.3251481879009234e-06,0,0,60.08986175115207,970.5309388091732,HDAC1;HGF;ERBB2;STAT3;MDM2;JAK2;PML;IGF1R;JAK1
Interferon Signaling,5/280,1.234792290092498e-07,3.4564678398350887e-06,0,0,71.69090909090909,1140.4011187364597,STAT2;STAT3;JAK2;PML;JAK1
PIP3 Activates AKT Signaling,5/281,1.2568973963036686e-07,3.4564678398350887e-06,0,0,71.42753623188406,1134.9442191899593,HDAC1;HGF;ERBB2;MDM2;PML
Interleukin-6 Family Signaling,3/24,1.811644152490212e-07,4.042793957170252e-06,0,0,407.530612244898,6326.448515161949,STAT3;JAK2;JAK1
Interleukin-4 and Interleukin-13 Signaling,4/112,1.906603166422657e-07,4.042793957170252e-06,0,0,122.7283950617284,1898.948528607696,HGF;STAT3;JAK2;JAK1
Inactivation of CSF3 (G-CSF) Signaling,3/25,2.058149650923037e-07,4.042793957170252e-06,0,0,388.987012987013,5988.956196714199,STAT3;JAK2;JAK1
Interleukin-7 Signaling,3/25,2.058149650923037e-07,4.042793957170252e-06,0,0,388.987012987013,5988.956196714199,HGF;STAT3;JAK1
Intracellular Signaling by Second Messengers,5/321,2.43546992377612e-07,4.465028193589552e-06,0,0,62.25949367088607,948.0848255870078,HDAC1;HGF;ERBB2;MDM2;PML
Signaling by CSF3 (G-CSF),3/30,3.628341873454068e-07,6.236212594999179e-06,0,0,316.87301587301585,4699.011317273943,STAT3;JAK2;JAK1
Cytokine Signaling in Immune System,6/776,6.149294831568545e-07,9.947388698125586e-06,0,0,37.44155844155844,535.4801168569459,STAT2;HGF;STAT3;JAK2;PML;JAK1
Potential Therapeutics for SARS,4/164,8.807182931588857e-07,1.3455418367705196e-05,0,0,82.625,1152.0013776684198,HDAC1;STAT2;JAK2;JAK1
Interleukin-2 Family Signaling,3/44,1.179262720025585e-06,1.7068276210896623e-05,0,0,208.5261324041812,2846.511228799546,STAT3;JAK2;JAK1
Signaling by Interleukins,5/452,1.3233875756084772e-06,1.819657916461656e-05,0,0,43.72035794183445,591.7688500424678,STAT2;HGF;STAT3;JAK2;JAK1
Interleukin-12 Family Signaling,3/56,2.460474105043204e-06,3.2220494232708626e-05,0,0,161.2156334231806,2082.1251360620786,STAT3;JAK2;JAK1
Viral Infection Pathways,6/1029,3.211323854079313e-06,4.0141548175991417e-05,0,0,27.8108504398827,351.7746440088063,HDAC1;STAT2;JAK2;PML;IGF1R;JAK1
RAF MAP Kinase Cascade,4/265,5.942658201612567e-06,7.105352197580244e-05,0,0,50.393358876117496,606.4011274118033,HGF;ERBB2;JAK2;JAK1
IFNG Signaling Activates MAPKs,2/8,6.2898093131455335e-06,7.142600099085442e-05,0,0,832.6666666666666,9972.498783119754,JAK2;JAK1
MAPK1 MAPK3 Signaling,4/271,6.4932728173504016e-06,7.142600099085442e-05,0,0,49.24594257178527,588.2301705666491,HGF;ERBB2;JAK2;JAK1
Interleukin-23 Signaling,2/9,8.084763760961904e-06,7.940392979516156e-05,0,0,713.6785714285714,8368.258989209586,STAT3;JAK2
Interleukin-9 Signaling,2/9,8.084763760961904e-06,7.940392979516156e-05,0,0,713.6785714285714,8368.258989209586,STAT3;JAK1
MAPK1 (ERK2) Activation,2/9,8.084763760961904e-06,7.940392979516156e-05,0,0,713.6785714285714,8368.258989209586,JAK2;JAK1
Interleukin-21 Signaling,2/10,1.0103284265653993e-05,9.261343910182826e-05,0,0,624.4375,7182.686016966727,STAT3;JAK1
MAPK3 (ERK1) Activation,2/10,1.0103284265653993e-05,9.261343910182826e-05,0,0,624.4375,7182.686016966727,JAK2;JAK1
Signaling by ALK Fusions and Activated Point Mutants,3/93,1.1406913236145963e-05,9.681209051648326e-05,0,0,94.76190476190476,1078.512810221967,HDAC1;STAT3;MDM2
Signaling by ALK in Cancer,3/93,1.1406913236145963e-05,9.681209051648326e-05,0,0,94.76190476190476,1078.512810221967,HDAC1;STAT3;MDM2
MAPK Family Signaling Cascades,4/314,1.161745086197799e-05,9.681209051648326e-05,0,0,42.32258064516129,480.91157721983785,HGF;ERBB2;JAK2;JAK1
STAT3 Nuclear Events Downstream of ALK Signaling,2/11,1.234519196297719e-05,9.699793685196363e-05,0,0,555.0277777777778,6273.059307633597,HDAC1;STAT3
Signaling by Leptin,2/11,1.234519196297719e-05,9.699793685196363e-05,0,0,555.0277777777778,6273.059307633597,STAT3;JAK2
Infectious Disease,6/1311,1.3096402959715593e-05,0.000100041967053383,0,0,21.477011494252874,241.4697546508852,HDAC1;STAT2;JAK2;PML;IGF1R;JAK1
