Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Cancer Pathways WP5434,10/507,1.0038898366229864e-16,1.8070017059213757e-14,0,0,194930.0,7180729.819897421,HDAC1;STAT2;HGF;ERBB2;STAT3;MDM2;JAK2;PML;IGF1R;JAK1
EGFR Tyrosine Kinase Inhibitor Resistance WP4806,6/84,9.478968873949188e-13,8.531071986554269e-11,0,0,382.9230769230769,10601.045666233356,HGF;ERBB2;STAT3;JAK2;IGF1R;JAK1
IL6 Signaling WP364,4/43,3.851630075325531e-09,2.310978045195319e-07,0,0,341.04273504273505,6607.624340881738,HDAC1;STAT3;JAK2;JAK1
Thyroid Stimulating Hormone TSH Signaling WP2032,4/58,1.3194101796692674e-08,5.937345808511703e-07,0,0,246.12345679012347,4465.53993920674,STAT3;JAK2;IGF1R;JAK1
IL10 Anti Inflammatory Signaling WP4495,3/12,1.975325674652796e-08,7.111172428750067e-07,0,0,951.4761904761904,16879.137629092926,STAT2;STAT3;JAK1
ncRNAs Involved In STAT3 Signaling In Hepatocellular Carcinoma WP4337,3/13,2.5672603330014545e-08,7.701780999004364e-07,0,0,856.2857142857143,14966.025934716256,STAT3;JAK2;JAK1
Leptin Signaling WP2034,4/71,3.012233823650474e-08,7.745744117958362e-07,0,0,198.2388059701493,3433.099405160078,ERBB2;STAT3;JAK2;JAK1
Prolactin Signaling WP2037,4/74,3.5645724228129814e-08,8.020287951329207e-07,0,0,189.7142857142857,3253.531064426654,ERBB2;STAT3;JAK2;JAK1
Immune Response To Tuberculosis WP4197,3/22,1.379143686230442e-07,2.758287372460884e-06,0,0,450.4736842105263,7115.967403292334,STAT2;JAK2;JAK1
Androgen Receptor Network In Prostate Cancer WP2263,4/109,1.7090436968772706e-07,2.992161265242917e-06,0,0,126.25396825396824,1967.309745881739,HGF;STAT3;MDM2;JAK1
Focal Adhesion PI3K Akt mTOR Signaling WP3932,5/303,1.8285429954262278e-07,2.992161265242917e-06,0,0,66.08053691275168,1025.2115238546996,HGF;MDM2;JAK2;IGF1R;JAK1
